14년	로마 황제인 아우구스투스가 죽다
1522년	루터가 그리스어로 된 《신약 성경》을 독일어로 번역하다
1526년	무굴 제국이 세워지다(~1857)
1534년	영국 국교회가 성립되다(수장령)
1536년	칼뱅의 종교개혁이 시작되다
1543년	코페르니쿠스가 지동설을 주장하다
1559년	엘리자베스 1세가 영국 교회의 기초를 확립하다
1562년	위그노전쟁이 일어나다(~1598)
1564년	4대 비극의 극작가 셰익스피어가 태어나다
1565년	에스파냐(스페인)가 필리핀을 점령하다
1581년	네덜란드가 독립을 선언하다
1582년	그레고리력이 제정되다, 갈릴레이가 중력의 법칙을 발견하다
1588년	영국 해군이 에스파냐의 무적함대를 격파하다
1590년	도요토미 히데요시가 일본을 통일하다
1598년	프랑스의 앙리 4세가 낭트칙령을 내리다
1600년	영국이 동인도회사를 설립하다(~1858)
1603년	영국에서 엘리자베스 여왕이 죽고 스튜어트 왕가가 세워지다(~1714), 일본에서는 에도막부가 세워지다(~1867)
1613년	러시아에 로마노프 왕조가 세워지다(~1917)
1616년	여진족의 족장 누르하치가 남만주를 거의 통일하고 후금을 세우다
1618년	30년전쟁이 일어나다(~1648)
1620년	영국의 청교도들이 메이플라워호를 타고 아메리카 대륙으로 항해를 시작하다
1628년	영국이 권리청원을 제출하다
1630년	인도가 타지마할을 건립하다(~1648)
1632년	갈릴레이가 지동설을 주장하다
1633년	갈릴레이가 종교재판에 회부되다
1636년	후금 태종이 나라 이름을 청으로 바꾸다, 미국의 하버드대학이 문을 열다
1642년	영국에서 청교도혁명이 일어나다(~1660)
1644년	영국에서 크롬웰의 철기대가 왕당군을 격파하다
1648년	베스트팔렌 조약으로 독일의 30년전쟁이 막을 내리다
1649년	청교도 세력들에 의해 찰스 1세가 처형당하다, 영국에서 공화정이 실시되다(~1660)
1651년	영국의 청교도혁명을 이끈 크롬웰이 항해 조례를 발표하다
1661년	중국 청나라의 강희제가 즉위하다(~1722)
1673년	청나라에서 삼번의 난이 일어나다(~1681)
1674년	시바지가 인도의 마라타 왕국을 세우다
1682년	영국의 뉴턴이 만유인력의 법칙을 발견하다
1685년   음악가 헨델과 바흐가 태어나다
1688년	영국에서 명예혁명이 일어나다
1689년	영국에서 권리장전이 제정되다, 청나라와 러시아가 네르친스크 조약을 체결하다
1701년	에스파냐 계승전쟁이 일어나다(~1714), 프로이센 왕국이 성립하다
1709년	제2차 북방전쟁이 일어나다
1710년	프랑스의 베르사유 궁전이 완성되다
1713년	위트레흐트 조약이 체결되다
1714년	독일에 하노버 왕가가 세워지다
1715년	프랑스의 루이 14세가 죽다
1726년	아일랜드 작가 조나단 스위프트가 《걸리버 여행기》를 쓰다
1735년	청나라의 건륭제가 황제로 즉위하다
1738년	영국 국교회 성직자인 웨슬리가 감리교 운동을 시작하다
1740년	오스트리아 계승전쟁이 일어나다
1741년	헨델이 〈메시아〉를 작곡하다
1748년	나폴레옹전쟁 이후 유럽 열강들이 유럽 공동의 문제를 논의하기 위해 엑스라샤펠 회의를 열다
1753년	런던에 대영박물관이 세워지다
1756년	7년전쟁이 일어나다
1757년	영국과 인도의 플라시 전투가 발발하다
1763년	파리 조약이 체결되다
1769년	와트가 증기기관을 발명하다
1770년	베토벤이 태어나다
1774년	괴테가 《젊은 베르테르의 슬픔》을 완성하다
1775년	미국의 독립전쟁이 시작되다(~1783)
1776년	제퍼슨이 미국 독립선언문을 기초하다
1789년	프랑스혁명이 일어나다
1793년	프랑스에서 루이 16세와 마리 앙투아네트가 처형되다, 프랑스혁명기의 공포 정치가 시작되다
1794년	프랑스혁명 당시 자코뱅파의 지도자인 로베스피에르가 죽다
1798년	나폴레옹 1세가 이집트를 원정하다
1804년	나폴레옹 1세가 황제에 오르다(~1814), 《나폴레옹 법전》(프랑스 인민 법전)이 제정되다
1806년	라인동맹이 성립되다, 신성로마 제국이 멸망하다
1815년	워털루전쟁에서 나폴레옹이 최초로 패하다
1821년	그리스 독립전쟁이 일어나다(~1829)
1823년	미국 대통령 먼로가 먼로주의를 선언하다
1830년	프랑스에서 7월혁명이 일어나다
1840년	아편전쟁이 일어나다
1842년	난징 조약이 체결되다
1848년	독일에서 3월혁명이 일어나다, 유럽 전역에서 자유주의혁명이 일어나다
1851년	프랑스 대통령 루이 나폴레옹이 쿠데타를 일으키다
1854년	러시아 · 영국 · 프랑스와 오스만 제국 사이에 크림전쟁이 일어나다
1858년	무굴 제국이 멸망하고 청나라가 톈진 조약과 아이훈 조약을 체결하다
1859년	밀이 《자유론》을 출간하다, 다윈이 《종의 기원》을 발표하다
1860년	베이징 조약이 맺어지다
1861년	미국에서 남북전쟁이 일어나다, 이탈리아 왕국이 성립하다
1863년	링컨이 노예해방을 선언하다
1865년	미국 남북전쟁이 북군의 승리로 끝나다
1866년	프로이센 · 오스트리아전쟁이 일어나다
1868년	일본에서 메이지 유신이 단행되다
1869년	수에즈 운하가 개통되다
1870년	독일 제국이 세워지다
1875년	프랑스 제3공화정이 성립되다
1877년	러시아 · 투르크전쟁이 발발하다(~1878)
1878년	베를린 회의가 열리다
1882년	삼국 동맹이 성립하다
1884년	청나라와 프랑스 사이에 전쟁이 일어나다
1894년	청일전쟁이 일어나다(~1895)
1896년	헤르츨이 시온주의 운동을 제창하다, 제1회 근대올림픽대회가 개최되다
1898년	중국에서 무술정변이 일어나다, 파쇼다 사건이 일어나다
1900년	중국에서 의화단 사건이 일어나다(~1901)
1903년	라이트 형제가 비행에 성공하다
1905년	러일전쟁이 발발하다, 아인슈타인이 《특수상대성이론》을 발표하다, 러시아에서 ‘피의 일요일’ 사건이 발발하다
1907년	피카소가 〈아비뇽의 처녀들〉을 그리다, 삼국 협상(영국 · 프랑스 · 러시아)이 이루어지다
1910년	대한제국이 일본에 합병되다
1911년	신해혁명이 일어나다
1914년	제1차 세계대전이 일어나다(~1918), 파나마 운하가 개통되다
1915년	중국의 문화혁명이 시작되다
1916년	아인슈타인이 《일반상대성이론》을 발표하다, 소쉬르가 《일반언어학강의》를 출간하다
1917년	러시아에서 10월혁명이 일어나다
1918년	미국의 윌슨 대통령이 평화 원칙 14개조를 발표하다
1919년	베르사유 조약을 체결하다, 한국에서 3 · 1운동이 일어나다
1920년	국제 연맹이 창립되다
1921년	중국 공산당이 세워지다
1922년	소비에트 연방(소련)이 성립되다, 터키혁명이 일어나다
1927년	중국이 난징에 국민정부를 수립하다
1928년	소련이 토지사유금지령을 제정하다, 파리 조약이 조인되다
1929년	뉴욕의 주가가 대폭락하고 세계 대공황이 시작되다
1930년	인도의 간디가 소금 행진을 시작하다
1931년	마오쩌둥이 중화 소비에트 임시정부를 수립하고 만주사변이 일어나다
1932년	만주국이 성립되다
1933년	히틀러가 독일 총리에 취임하다, 뉴딜 정책이 실시되다
1937년	중일전쟁이 일어나다
1939년	제2차 세계대전이 일어나다
1941년	대서양 헌장이 발표되다, 태평양전쟁이 일어나다(~1945)
1942년	독일이 소련을 침공하다
1943년	제1차 카이로 회담과 테헤란 회담이 열리다

출처 [네이버 지식백과]?세계사 연표?(청소년을 위한 서양철학사, 2008. 7. 15., 평단문화사)
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
